chromosome	tool	competitor_ps	competitor_accuracy	competitor_reads	competitor_discordant_reads	gap_start	gap_end	gap_bp	left_graph_ps	right_graph_ps	truth_hets	shared_hets	catalog_sites	graph_candidates	graph_phased_sites	private_sites	competitor_phased_sites	clean_het_snps	clean_het_indels	repeat_het_indels	filtered_ref_only	filtered_high_af	filtered_low_af	filtered_low_depth	filtered_no_reads	primary_reason
chr18	hiphase	46128191	0.9983	2981	5	46185393	46302851	117458	46129116	46320856	17	16	1510	21	2	2	16	2	0	24	1466	8	27	2	0	block_stitching
chr18	hiphase	33179887	0.9932	1177	8	33319321	33429051	109730	33308109	33429051	13	17	1111	15	4	1	17	4	1	13	1080	7	11	0	0	block_stitching
chr18	hiphase	69411389	0.9988	11220	13	71439208	71538123	98915	71421324	71547227	8	7	1493	14	6	0	7	4	3	12	1291	192	5	1	1	block_stitching
chr18	hiphase	51807747	0.9997	3541	1	52053305	52147183	93878	51807747	52156413	6	6	1212	4	2	3	6	2	0	2	1193	10	6	0	0	block_stitching
chr18	hiphase	6097849	0.9982	7843	14	6325477	6398154	72677	6273770	6405987	7	7	969	9	2	0	7	1	1	7	949	4	8	0	1	block_stitching
chr18	hiphase	45538181	0.9929	1133	8	45671465	45734235	62770	45542668	45734235	4	4	715	7	1	2	3	2	1	8	686	23	1	1	0	block_stitching
chr18	hiphase	68462253	0.9964	3020	11	68947290	69008056	60766	68940748	69014768	4	4	864	5	0	0	4	0	0	7	822	41	5	2	0	repeat_indels_excluded
chr18	hiphase	32875301	0.9968	1263	4	32944987	33000178	55191	32875301	33002423	8	7	566	7	2	0	7	3	0	5	555	4	4	0	0	block_stitching
chr18	hiphase	49573649	0.9957	1397	6	49666311	49720858	54547	49606675	49697424	5	6	793	7	1	0	5	1	0	9	769	9	11	0	0	block_stitching
chr18	hiphase	56951190	0.9982	2810	5	57126737	57179488	52751	57059442	57163280	3	3	639	6	1	0	3	1	0	6	625	3	7	0	0	block_stitching
chr18	hiphase	10004200	0.9984	3692	6	10067928	10115267	47339	10004200	10128558	6	4	620	2	0	0	4	0	1	1	581	39	2	0	0	clean_candidate_unphased
chr18	hiphase	48110458	0.9958	4961	21	48743213	48789496	46283	48191444	48771192	6	6	693	4	1	1	6	1	0	3	680	8	5	0	0	block_stitching
chr18	hiphase	41756327	0.999	4823	5	41883050	41928801	45751	41756515	41941032	7	6	538	6	1	1	6	3	0	4	526	6	2	0	0	block_stitching
chr18	hiphase	44009495	0.9989	6643	7	44432563	44478108	45545	44009495	44478108	5	6	589	2	0	0	6	0	0	3	525	65	0	0	0	repeat_indels_excluded
chr18	hiphase	62764377	0.9961	2834	11	62903312	62947238	43926	62789327	62947238	5	4	488	11	1	0	4	4	0	8	467	2	11	0	0	block_stitching
