chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr18	15715440	29	72239	13	1	14	1	15	14	0.5172	3	3	HP1=PAT,HP2=MAT
chr18	20316408	73	1682087	22	13	20	18	40	33	0.5479	4	2	HP1=MAT,HP2=PAT
chr18	15575094	18	38300	5	2	6	5	10	8	0.5556	2	0	HP1=MAT,HP2=PAT
chr18	21000247	7	1736743	2	2	2	1	4	3	0.5714	1	1	HP1=PAT,HP2=MAT
chr18	20093006	27	1617960	14	3	8	2	16	11	0.5926	5	1	HP1=MAT,HP2=PAT
chr18	20373311	99	2212878	19	26	33	21	59	40	0.5960	9	4	HP1=PAT,HP2=MAT
chr18	65988303	23	1642376	0	9	7	7	16	7	0.6957	3	1	HP1=PAT,HP2=MAT
chr18	20154884	26	1619638	11	4	2	9	20	6	0.7692	1	2	HP1=MAT,HP2=PAT
chr18	65919814	38	1655167	6	15	16	1	31	7	0.8158	2	5	HP1=PAT,HP2=MAT
chr18	15812924	21	43474	11	0	3	7	18	3	0.8571	2	1	HP1=MAT,HP2=PAT
chr18	15025957	56	30666	25	0	5	26	51	5	0.9107	0	5	HP1=MAT,HP2=PAT
chr18	48191444	1904	2202897	868	89	81	866	1734	170	0.9107	3	3	HP1=MAT,HP2=PAT
chr18	48015399	56	1662097	27	2	1	26	53	3	0.9464	0	3	HP1=MAT,HP2=PAT
chr18	47513052	21	1651093	11	1	0	9	20	1	0.9524	0	1	HP1=MAT,HP2=PAT
chr18	15623275	114	102653	5	56	53	0	109	5	0.9561	1	0	HP1=PAT,HP2=MAT
chr18	13935991	55	14864	2	26	27	0	53	2	0.9636	1	1	HP1=PAT,HP2=MAT
chr18	32795267	35	1684500	18	1	0	16	34	1	0.9714	0	1	HP1=MAT,HP2=PAT
chr18	41318361	797	1856625	7	394	381	15	775	22	0.9724	9	6	HP1=PAT,HP2=MAT
chr18	80132526	265	1949682	5	134	124	2	258	7	0.9736	1	5	HP1=PAT,HP2=MAT
chr18	79580090	48	1889056	1	24	23	0	47	1	0.9792	0	1	HP1=PAT,HP2=MAT
chr18	79194072	432	1997976	210	0	6	216	426	6	0.9861	4	2	HP1=MAT,HP2=PAT
chr18	66154652	107	1680833	0	57	49	1	106	1	0.9907	0	1	HP1=PAT,HP2=MAT
chr18	46129116	140	1729558	1	75	64	0	139	1	0.9929	0	1	HP1=PAT,HP2=MAT
chr18	34222190	394	1787962	207	1	1	185	392	2	0.9949	0	2	HP1=MAT,HP2=PAT
chr18	52829899	766	1850592	1	408	356	1	764	2	0.9974	0	2	HP1=PAT,HP2=MAT
chr18	67773888	520	1766488	0	274	245	1	519	1	0.9981	0	1	HP1=PAT,HP2=MAT
chr18	2210508	1184	285970	611	0	2	571	1182	2	0.9983	0	2	HP1=MAT,HP2=PAT
chr18	73409032	644	1799370	1	311	332	0	643	1	0.9984	0	1	HP1=PAT,HP2=MAT
chr18	44478108	1604	2069955	1	826	776	1	1602	2	0.9988	0	2	HP1=PAT,HP2=MAT
chr18	43589564	873	1884096	1	451	421	0	872	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr18	46894800	1021	1931328	464	1	0	556	1020	1	0.9990	0	1	HP1=MAT,HP2=PAT
chr18	59848512	1051	1891042	538	0	1	512	1050	1	0.9990	0	1	HP1=MAT,HP2=PAT
chr18	50487958	3340	2501603	1678	2	1	1659	3337	3	0.9991	1	1	HP1=MAT,HP2=PAT
chr18	24239285	1196	1972523	578	1	0	617	1195	1	0.9992	0	1	HP1=MAT,HP2=PAT
chr18	63763017	1371	2008269	1	673	697	0	1370	1	0.9993	0	1	HP1=PAT,HP2=MAT
chr18	33770689	1443	2029158	1	755	687	0	1442	1	0.9993	0	1	HP1=PAT,HP2=MAT
chr18	76083307	1451	2069555	740	0	1	710	1450	1	0.9993	0	1	HP1=MAT,HP2=PAT
chr18	78068337	1634	2370573	838	0	1	795	1633	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr18	58309005	1650	2047866	1	831	818	0	1649	1	0.9994	0	1	HP1=PAT,HP2=MAT
chr18	35235250	1654	2055008	1	841	812	0	1653	1	0.9994	0	1	HP1=PAT,HP2=MAT
chr18	4022774	1951	468295	988	1	0	962	1950	1	0.9995	0	1	HP1=MAT,HP2=PAT
chr18	10367744	1964	513874	0	964	999	1	1963	1	0.9995	0	1	HP1=PAT,HP2=MAT
chr18	4988792	2229	556140	1	1109	1119	0	2228	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	36974943	2285	2256361	1	1138	1146	0	2284	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	40633808	2733	2330588	0	1365	1367	1	2732	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	72623835	2832	2342486	1	1377	1454	0	2831	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	10925954	2843	684783	1	1400	1442	0	2842	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	58792695	3912	2612915	1921	0	1	1990	3911	1	0.9997	0	1	HP1=MAT,HP2=PAT
chr18	207721	817	228461	407	0	0	410	817	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr18	452790	1426	388374	725	0	0	701	1426	0	1.0000	0	0	HP1=MAT,HP2=PAT
