chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr20	26563788	49	662200	16	13	18	2	31	18	0.6327	5	4	HP1=PAT,HP2=MAT
chr20	27003187	44	195350	28	0	16	0	28	16	0.6364	7	4	HP1=MAT,HP2=PAT
chr20	65994858	526	1039739	1	237	106	182	343	183	0.6521	30	38	HP1=PAT,HP2=MAT
chr20	13882832	65	27008	2	23	30	10	53	12	0.8154	6	5	HP1=PAT,HP2=MAT
chr20	34134418	65	866884	1	31	32	1	63	2	0.9692	0	2	HP1=PAT,HP2=MAT
chr20	38341762	79	895850	2	33	44	0	77	2	0.9747	0	2	HP1=PAT,HP2=MAT
chr20	58391091	59	870320	0	29	29	1	58	1	0.9831	0	1	HP1=PAT,HP2=MAT
chr20	57785772	70	874959	30	0	1	39	69	1	0.9857	0	1	HP1=MAT,HP2=PAT
chr20	46663811	228	912194	1	111	115	1	226	2	0.9912	0	2	HP1=PAT,HP2=MAT
chr20	36832892	125	908819	70	1	0	54	124	1	0.9920	1	0	HP1=MAT,HP2=PAT
chr20	20617179	133	61123	1	68	64	0	132	1	0.9925	0	1	HP1=PAT,HP2=MAT
chr20	38153151	136	925052	64	1	0	71	135	1	0.9926	0	1	HP1=MAT,HP2=PAT
chr20	36156319	221	951797	118	0	1	102	220	1	0.9955	0	1	HP1=MAT,HP2=PAT
chr20	60114911	482	991274	231	1	1	249	480	2	0.9959	1	1	HP1=MAT,HP2=PAT
chr20	36629321	713	1058584	349	1	1	362	711	2	0.9972	0	2	HP1=MAT,HP2=PAT
chr20	22668436	939	312392	1	472	465	1	937	2	0.9979	0	2	HP1=PAT,HP2=MAT
chr20	59850389	518	1035802	1	258	259	0	517	1	0.9981	0	1	HP1=PAT,HP2=MAT
chr20	11262361	528	183435	262	0	1	265	527	1	0.9981	0	1	HP1=MAT,HP2=PAT
chr20	1523721	576	138910	286	1	0	289	575	1	0.9983	0	1	HP1=MAT,HP2=PAT
chr20	54702072	724	1067157	351	1	0	372	723	1	0.9986	0	1	HP1=MAT,HP2=PAT
chr20	1690618	728	210837	350	1	0	377	727	1	0.9986	0	1	HP1=MAT,HP2=PAT
chr20	38393470	2498	1583590	3	1215	1280	0	2495	3	0.9988	0	3	HP1=PAT,HP2=MAT
chr20	11822681	1687	461078	2	864	821	0	1685	2	0.9988	0	2	HP1=PAT,HP2=MAT
chr20	58452672	870	1121271	0	441	428	1	869	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr20	49148305	931	1118619	0	458	472	1	930	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr20	1196967	1255	322633	609	0	1	645	1254	1	0.9992	0	1	HP1=MAT,HP2=PAT
chr20	65513900	1427	1348470	0	707	719	1	1426	1	0.9993	0	1	HP1=PAT,HP2=MAT
chr20	35516845	1655	1270186	852	1	0	802	1654	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr20	3981464	1693	490085	1	855	837	0	1692	1	0.9994	0	1	HP1=PAT,HP2=MAT
chr20	45896820	1767	1358661	1	881	885	0	1766	1	0.9994	0	1	HP1=PAT,HP2=MAT
chr20	39286408	2123	1425417	1027	1	0	1095	2122	1	0.9995	0	1	HP1=MAT,HP2=PAT
chr20	50562066	2271	1448426	1126	1	0	1144	2270	1	0.9996	0	1	HP1=MAT,HP2=PAT
chr20	63182011	2626	1634720	1	1327	1298	0	2625	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr20	51262081	3617	1873486	1762	0	1	1854	3616	1	0.9997	0	1	HP1=MAT,HP2=PAT
chr20	52727684	4528	2064839	2316	1	0	2211	4527	1	0.9998	0	1	HP1=MAT,HP2=PAT
chr20	0	9	268481	0	9	0	0	9	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	59458	86	36999	33	0	0	53	86	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	130540	1359	393020	693	0	0	666	1359	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	545002	1223	335997	0	614	609	0	1223	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	890260	736	206598	0	361	375	0	736	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	1110921	54	21221	0	27	27	0	54	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	1142089	62	27536	35	0	0	27	62	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	1903119	1176	321680	585	0	0	591	1176	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	2264116	172	54594	87	0	0	85	172	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	2332870	4136	1161008	0	2065	2071	0	4136	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	3550839	89	34689	48	0	0	41	89	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	3597791	701	208268	340	0	0	361	701	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	3806891	154	46699	69	0	0	85	154	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr20	3890462	231	79111	0	106	125	0	231	0	1.0000	0	0	HP1=PAT,HP2=MAT
chr20	4502100	68	17769	0	43	25	0	68	0	1.0000	0	0	HP1=PAT,HP2=MAT
