site_class	pos	gap_left	gap_right	verdict	reads	alt_fraction	segregation
demoted_repeat_indel	1099025	1086625	1142089	phantom	73	0.2192	0.5068
demoted_repeat_indel	1119161	1086625	1142089	phantom	65	0.6769	0.5538
demoted_repeat_indel	1143089	1086625	1142089	phantom	68	0.1029	0.5588
demoted_repeat_indel	1143103	1086625	1142089	ambiguous	68	0.6029	0.8235
demoted_repeat_indel	1143103	1086625	1142089	phantom	68	0.0441	0.5882
demoted_repeat_indel	2209956	2225498	2264116	informative	50	0.56	0.96
demoted_repeat_indel	2211314	2225498	2264116	informative	44	0.5	0.9773
demoted_repeat_indel	2211483	2225498	2264116	informative	44	0.4091	0.9091
demoted_repeat_indel	2219670	2225498	2264116	phantom	53	0.1887	0.566
demoted_repeat_indel	2225494	2225498	2264116	informative	62	0.5161	0.9355
demoted_repeat_indel	2239516	2225498	2264116	phantom	77	0.5455	0.5714
demoted_repeat_indel	3933520	3956345	3981464	ambiguous	57	0.4211	0.8947
demoted_repeat_indel	3934394	3956345	3981464	ambiguous	61	0.4754	0.8852
demoted_repeat_indel	3936627	3956345	3981464	phantom	58	0.2414	0.569
demoted_repeat_indel	3947817	3956345	3981464	informative	54	0.5	0.9815
demoted_repeat_indel	3947823	3956345	3981464	informative	54	0.4815	1.0
demoted_repeat_indel	3949273	3956345	3981464	informative	55	0.4364	0.9455
demoted_repeat_indel	3963989	3956345	3981464	phantom	60	0.5	0.5333
demoted_repeat_indel	3971337	3956345	3981464	phantom	74	0.7703	0.527
demoted_repeat_indel	3976638	3956345	3981464	phantom	78	0.2692	0.5385
demoted_repeat_indel	3977620	3956345	3981464	phantom	76	0.6974	0.5263
demoted_repeat_indel	4837399	4854217	4886360	informative	51	0.451	0.9804
demoted_repeat_indel	4839356	4854217	4886360	ambiguous	51	0.5882	0.8039
demoted_repeat_indel	4842128	4854217	4886360	informative	55	0.5636	1.0
demoted_repeat_indel	4842160	4854217	4886360	informative	55	0.4545	0.9818
demoted_repeat_indel	4843603	4854217	4886360	phantom	53	0.8868	0.6415
demoted_repeat_indel	4846576	4854217	4886360	ambiguous	56	0.4464	0.875
demoted_repeat_indel	4853036	4854217	4886360	informative	63	0.5873	0.9841
demoted_repeat_indel	4866154	4854217	4886360	ambiguous	57	0.7719	0.8772
demoted_repeat_indel	4867802	4854217	4886360	phantom	51	0.3137	0.5294
demoted_repeat_indel	4874099	4854217	4886360	phantom	47	0.1277	0.6383
demoted_repeat_indel	4874115	4854217	4886360	phantom	47	0.2128	0.6596
demoted_repeat_indel	4876656	4854217	4886360	phantom	48	0.3125	0.5208
demoted_repeat_indel	4878944	4854217	4886360	informative	46	0.4565	0.9565
