chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr18	15715440	29	72239	13	1	14	1	15	14	0.5172	3	3	HP1=PAT,HP2=MAT
chr18	20316408	73	1682087	22	13	20	18	40	33	0.5479	4	2	HP1=MAT,HP2=PAT
chr18	15575094	18	38300	5	2	6	5	10	8	0.5556	2	0	HP1=MAT,HP2=PAT
chr18	21000247	7	1736743	2	2	2	1	4	3	0.5714	1	1	HP1=PAT,HP2=MAT
chr18	20373311	127	2212878	20	31	42	34	73	54	0.5748	11	6	HP1=PAT,HP2=MAT
chr18	20093006	27	1617960	14	3	8	2	16	11	0.5926	5	1	HP1=MAT,HP2=PAT
chr18	65988303	23	1642376	0	9	7	7	16	7	0.6957	3	1	HP1=PAT,HP2=MAT
chr18	20154884	26	1619638	11	4	2	9	20	6	0.7692	1	2	HP1=MAT,HP2=PAT
chr18	15812924	21	43474	11	0	3	7	18	3	0.8571	2	1	HP1=MAT,HP2=PAT
chr18	48191444	1904	2202897	868	89	81	866	1734	170	0.9107	3	3	HP1=MAT,HP2=PAT
chr18	65919814	79	1674377	6	40	32	1	72	7	0.9114	2	5	HP1=PAT,HP2=MAT
chr18	15025957	82	37336	42	0	5	35	77	5	0.9390	0	5	HP1=MAT,HP2=PAT
chr18	48015399	56	1662097	27	2	1	26	53	3	0.9464	0	3	HP1=MAT,HP2=PAT
chr18	47513052	21	1651093	11	1	0	9	20	1	0.9524	0	1	HP1=MAT,HP2=PAT
chr18	15623275	114	102653	5	56	53	0	109	5	0.9561	1	0	HP1=PAT,HP2=MAT
chr18	32795267	35	1684500	18	1	0	16	34	1	0.9714	0	1	HP1=MAT,HP2=PAT
chr18	13935991	72	23290	2	35	35	0	70	2	0.9722	1	1	HP1=PAT,HP2=MAT
chr18	41318361	797	1856625	7	394	381	15	775	22	0.9724	9	6	HP1=PAT,HP2=MAT
chr18	80132526	268	1949682	5	135	126	2	261	7	0.9739	1	6	HP1=PAT,HP2=MAT
chr18	79580090	48	1889056	1	24	23	0	47	1	0.9792	0	1	HP1=PAT,HP2=MAT
chr18	79194072	432	1997976	210	0	6	216	426	6	0.9861	4	2	HP1=MAT,HP2=PAT
chr18	66154652	107	1680833	0	57	49	1	106	1	0.9907	0	1	HP1=PAT,HP2=MAT
chr18	46129116	179	1780081	1	95	83	0	178	1	0.9944	0	1	HP1=PAT,HP2=MAT
chr18	34222190	394	1787962	207	1	1	185	392	2	0.9949	0	2	HP1=MAT,HP2=PAT
chr18	58159571	360	1743627	1	179	180	0	359	1	0.9972	0	1	HP1=PAT,HP2=MAT
chr18	52829899	819	1850592	1	430	387	1	817	2	0.9976	0	2	HP1=PAT,HP2=MAT
chr18	67773888	520	1766488	0	274	245	1	519	1	0.9981	0	1	HP1=PAT,HP2=MAT
chr18	2210508	1189	285970	615	0	2	572	1187	2	0.9983	0	2	HP1=MAT,HP2=PAT
chr18	49137144	614	1817171	309	1	0	304	613	1	0.9984	0	1	HP1=MAT,HP2=PAT
chr18	73409032	644	1799370	1	311	332	0	643	1	0.9984	0	1	HP1=PAT,HP2=MAT
chr18	44478108	1628	2069955	1	837	789	1	1626	2	0.9988	0	2	HP1=PAT,HP2=MAT
chr18	43589564	873	1884096	1	451	421	0	872	1	0.9989	0	1	HP1=PAT,HP2=MAT
chr18	59848512	1061	1902750	545	0	1	515	1060	1	0.9991	0	1	HP1=MAT,HP2=PAT
chr18	46894800	1062	1936148	478	1	0	583	1061	1	0.9991	0	1	HP1=MAT,HP2=PAT
chr18	50487958	3395	2503405	1697	2	1	1695	3392	3	0.9991	1	1	HP1=MAT,HP2=PAT
chr18	57679490	1163	1929056	589	1	0	573	1162	1	0.9991	1	0	HP1=MAT,HP2=PAT
chr18	24239285	1259	1980083	605	1	0	653	1258	1	0.9992	0	1	HP1=MAT,HP2=PAT
chr18	63763017	1440	2013061	1	696	743	0	1439	1	0.9993	0	1	HP1=PAT,HP2=MAT
chr18	33770689	1452	2029158	1	759	692	0	1451	1	0.9993	0	1	HP1=PAT,HP2=MAT
chr18	76083307	1494	2080602	757	0	1	736	1493	1	0.9993	0	1	HP1=MAT,HP2=PAT
chr18	35235250	1654	2055008	1	841	812	0	1653	1	0.9994	0	1	HP1=PAT,HP2=MAT
chr18	58309005	1671	2047866	1	839	831	0	1670	1	0.9994	0	1	HP1=PAT,HP2=MAT
chr18	78068337	1685	2370573	855	0	1	829	1684	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr18	4022774	1951	468295	988	1	0	962	1950	1	0.9995	0	1	HP1=MAT,HP2=PAT
chr18	10367744	1964	513874	0	964	999	1	1963	1	0.9995	0	1	HP1=PAT,HP2=MAT
chr18	4988792	2236	556140	1	1110	1125	0	2235	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	36974943	2310	2256361	1	1147	1162	0	2309	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	40633808	2785	2330588	0	1384	1400	1	2784	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	72623835	2852	2342486	1	1389	1462	0	2851	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	10925954	2882	684783	1	1421	1460	0	2881	1	0.9997	0	1	HP1=PAT,HP2=MAT
