current 19 / 34
historical 12 / 14
current	865572	882277	low	0	0	0	0
current	882277	890261	high	1	882277	882277	1117887
current	4778792	4785719	high	1	4502100	4502100	5203199
current	11495992	11497008	high	1	11477908	11477908	11743914
current	11796979	11813446	low	0	0	0	0
current	14264549	14272741	high	1	14264547	14264547	14446295
current	14679241	14679247	high	1	14679237	14679237	14679247
current	14719378	14729749	high	1	14719378	14719378	15023124
current	15023123	15039543	low	0	0	0	0
current	15056025	15071132	low	0	0	0	0
current	18194808	18218259	low	1	17521341	17521341	19464219
current	21669098	21688374	low	0	0	0	0
current	21823066	21844359	low	0	0	0	0
current	25985709	25986123	low	1	25971072	25971072	26902527
current	30813841	30814005	high	1	30809474	30809474	32035460
current	31886648	31901501	low	1	30809474	30809474	32035460
current	32035459	32050364	low	0	0	0	0
current	32234664	32246127	low	0	0	0	0
current	32910395	32910411	high	1	32874376	32874376	33762265
current	33792638	33797964	high	1	33778263	33778263	33797964
current	35281130	35305645	low	0	0	0	0
current	35328965	35347817	low	0	0	0	0
current	38283561	38303247	low	0	0	0	0
current	45230668	45252114	low	1	45168077	45168077	45255708
current	46727050	46747598	low	0	0	0	0
current	46895038	46896191	high	1	46875643	46895038	48110120
current	55381221	55381472	high	1	55360776	55360776	55472966
current	55381472	55382729	high	1	55360776	55360776	55472966
current	56064697	56083708	low	0	0	0	0
current	57854341	57866713	low	0	0	0	0
current	58834248	58836037	high	1	58834235	58834235	58989436
current	60971452	60980031	high	1	60946298	60946298	60991759
current	61373859	61375344	high	1	61373859	61373859	61375344
current	62623253	62642316	low	0	0	0	0
historical	1903021	1903046	29	1	1523721	1523721	1907007
historical	1907007	1907045	31	0	0	0	0
historical	4778793	4785720	35	1	4502100	4502100	5203199
historical	32168699	32169151	6	1	32168699	32168699	32181324
historical	34094605	34102868	30	1	34018168	34018169	34864445
historical	35613763	35613765	56	1	35517815	35517815	35919404
historical	36059715	36069697	12	0	0	0	0
historical	55882617	55883020	66	1	55489370	55489370	55999194
historical	58416190	58418868	48	1	58305921	58305921	58808403
historical	61763858	61770862	41	1	61487311	61487311	62351287
historical	65509649	65509898	6	1	63182011	63182011	66186287
historical	65511683	65513879	4	1	63182011	63182011	66186287
historical	65953554	65953582	60	1	63182011	63182011	66186287
historical	65994906	65995588	50	1	63182011	63182011	66186287
