chrom	phase_set	n_reads	span_bp	hp1_mat	hp1_pat	hp2_mat	hp2_pat	concordant	discordant	accuracy	switches	flips	orientation
chr18	20814763	69	1839872	12	13	23	21	36	33	0.5217	2	3	HP1=PAT,HP2=MAT
chr18	15715440	70	122803	30	9	29	2	38	32	0.5429	7	4	HP1=PAT,HP2=MAT
chr18	20372675	49	1715467	12	13	14	10	27	22	0.5510	6	6	HP1=PAT,HP2=MAT
chr18	48191444	3041	2583495	859	649	676	857	1716	1325	0.5643	3	1	HP1=MAT,HP2=PAT
chr18	26385292	3807	2573723	1107	766	739	1195	2302	1505	0.6047	3	1	HP1=MAT,HP2=PAT
chr18	20093007	70	1657255	14	13	34	9	47	23	0.6714	8	5	HP1=PAT,HP2=MAT
chr18	20045707	13	1627458	0	7	2	4	9	4	0.6923	2	1	HP1=PAT,HP2=MAT
chr18	20328658	30	1680621	18	9	0	3	21	9	0.7000	2	0	HP1=MAT,HP2=PAT
chr18	20928007	59	1796177	31	6	8	14	45	14	0.7627	4	1	HP1=MAT,HP2=PAT
chr18	0	30	2249410	6	24	0	0	24	6	0.8000	1	0	HP1=PAT,HP2=MAT
chr18	15466776	177	128616	77	15	6	79	156	21	0.8814	1	5	HP1=MAT,HP2=PAT
chr18	50448582	32	1664108	15	0	2	15	30	2	0.9375	2	0	HP1=MAT,HP2=PAT
chr18	62155708	33	1644382	1	25	6	1	31	2	0.9394	0	2	HP1=PAT,HP2=MAT
chr18	48015399	50	1656905	24	2	1	23	47	3	0.9400	0	3	HP1=MAT,HP2=PAT
chr18	7492204	1820	486627	54	851	868	47	1719	101	0.9445	1	1	HP1=PAT,HP2=MAT
chr18	15623275	113	102653	53	0	5	55	108	5	0.9558	1	0	HP1=MAT,HP2=PAT
chr18	32795267	35	1684500	18	1	0	16	34	1	0.9714	0	1	HP1=MAT,HP2=PAT
chr18	13905632	75	33871	2	36	37	0	73	2	0.9733	1	1	HP1=PAT,HP2=MAT
chr18	80132525	264	1949682	126	1	3	134	260	4	0.9848	1	3	HP1=MAT,HP2=PAT
chr18	5510927	157	42448	1	76	80	0	156	1	0.9936	0	1	HP1=PAT,HP2=MAT
chr18	47513052	171	1740787	0	82	88	1	170	1	0.9942	0	1	HP1=PAT,HP2=MAT
chr18	46129116	179	1780081	83	0	1	95	178	1	0.9944	0	1	HP1=MAT,HP2=PAT
chr18	34222190	394	1787962	207	1	1	185	392	2	0.9949	0	2	HP1=MAT,HP2=PAT
chr18	58159571	359	1743627	1	179	179	0	358	1	0.9972	0	1	HP1=PAT,HP2=MAT
chr18	52813690	798	1850592	376	1	1	420	796	2	0.9975	0	2	HP1=MAT,HP2=PAT
chr18	49137144	591	1812430	0	295	295	1	590	1	0.9983	0	1	HP1=PAT,HP2=MAT
chr18	73409032	636	1799370	328	0	1	307	635	1	0.9984	0	1	HP1=MAT,HP2=PAT
chr18	79194072	674	2125412	1	339	334	0	673	1	0.9985	0	1	HP1=PAT,HP2=MAT
chr18	44478108	1623	2069955	784	1	1	837	1621	2	0.9988	0	2	HP1=MAT,HP2=PAT
chr18	43589564	861	1883740	1	444	416	0	860	1	0.9988	0	1	HP1=PAT,HP2=MAT
chr18	59848512	1034	1902750	535	0	1	498	1033	1	0.9990	0	1	HP1=MAT,HP2=PAT
chr18	50487958	3371	2503405	1683	2	1	1685	3368	3	0.9991	1	1	HP1=MAT,HP2=PAT
chr18	57679490	1163	1929056	589	1	0	573	1162	1	0.9991	1	0	HP1=MAT,HP2=PAT
chr18	2210508	1184	285970	1	569	614	0	1183	1	0.9992	0	1	HP1=PAT,HP2=MAT
chr18	24212422	1271	1993947	617	1	0	653	1270	1	0.9992	0	1	HP1=MAT,HP2=PAT
chr18	33755736	1383	2024599	653	0	1	729	1382	1	0.9993	0	1	HP1=MAT,HP2=PAT
chr18	63759488	1410	2013061	1	682	727	0	1409	1	0.9993	0	1	HP1=PAT,HP2=MAT
chr18	76083307	1441	2080602	733	0	1	707	1440	1	0.9993	0	1	HP1=MAT,HP2=PAT
chr18	78068337	1633	2363722	824	0	1	808	1632	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr18	58309006	1660	2047866	829	0	1	830	1659	1	0.9994	0	1	HP1=MAT,HP2=PAT
chr18	35235250	1895	2124684	1	963	931	0	1894	1	0.9995	0	1	HP1=PAT,HP2=MAT
chr18	67384357	2102	2157351	0	1078	1023	1	2101	1	0.9995	0	1	HP1=PAT,HP2=MAT
chr18	10258573	2356	623048	0	1155	1200	1	2355	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	27632206	2698	2401479	0	1365	1332	1	2697	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	40631631	2750	2330588	1381	1	0	1368	2749	1	0.9996	0	1	HP1=MAT,HP2=PAT
chr18	72623835	2776	2335969	1	1351	1424	0	2775	1	0.9996	0	1	HP1=PAT,HP2=MAT
chr18	3509854	3706	1004200	1882	1	0	1823	3705	1	0.9997	0	1	HP1=MAT,HP2=PAT
chr18	58792695	4003	2636185	1949	0	1	2053	4002	1	0.9998	0	1	HP1=MAT,HP2=PAT
chr18	207721	2317	682126	1163	0	0	1154	2317	0	1.0000	0	0	HP1=MAT,HP2=PAT
chr18	983042	1088	306680	0	542	546	0	1088	0	1.0000	0	0	HP1=PAT,HP2=MAT
